brand,series,type,power,cool_kw,cspf,cert_no
口樂哪,AF,RAV-28AF,561,2.8,5.93,ACN-107-1048
口樂哪,HD,RAV-72HD,1670,7.2,5.12,ACN-105-1922
金鼎,SG,JCV-112SG,2646,11.2,5.03,ACN-109-1074
口樂哪,RN,RAV-38RN,752,3.8,6.01,ACN-109-0633
口樂哪,RN,RAV-65RN,1373,6.5,5.62,ACN-109-0760
王子,AF,PFV-41AF-H,896,4.1,5.44,ACN-107-0014
口樂哪,AF,RAV-50AF,1114,5,5.33,ACN-107-0020
金鼎,AF,JCV-41AF,896,4.1,5.44,ACN-106-3172
金鼎,AF,JCV-63AF-H,1404,6.3,5.33,ACN-106-3175
雅哥,HD,ACM-105HD,2483,10.5,5.03,ACN-107-1482
金鼎,HD,JCV-36HD,721,3.6,5.94,ACN-105-1242
雅哥,HD,ACV-41HD,902,4.1,5.4,ACN-105-1250
口樂哪,HD,RAM-63HD,1449,6.5,5.33,ACN-107-1492
口樂哪,AF,RAV-72AF,1673,7.2,5.11,ACN-107-0019
王子,HD,PFV-72HD,1670,7.2,5.12,ACN-105-1921
金鼎,AF,JCV-72AF-H,1673,7.2,5.11,ACN-106-3177
雅哥,AF,ACV-41AF,896,4.1,5.44,ACN-106-3513
王子,HD,PFV-36HD,721,3.6,5.94,ACN-105-1248
王子,HD,PCM-120HD,3071,13,5.03,ACN-107-1499
口樂哪,RN,RAV-85RN,1895,8.5,5.33,ACN-109-1001
口樂哪,AF,RAV-41AF-H,896,4.1,5.44,ACN-107-0021
口樂哪,HD,RAV-28HD,561,2.8,5.93,ACN-105-1246
金鼎,HD,JCV-28HD,561,2.8,5.93,ACN-105-1241
金鼎,SG,JCV-101SG,2363,10.1,5.08,ACN-109-1060
金鼎,HD,JCM-63HD,1449,6.5,5.33,ACN-107-1477
金鼎,HD,JCV-85HD,1951,8.5,5.18,ACN-107-0775
雅哥,AF,ACV-63AF-H,1404,6.3,5.33,ACN-106-3515
王子,AF,PFV-28AF-C,549,2.8,6.06,ACN-107-0015
王子,HD,PFV-41HD,902,4.1,5.4,ACN-105-1251
雅哥,AF,ACV-36AF,719,3.6,5.95,ACN-106-3512
雅哥,AF,ACV-28AF-H,561,2.8,5.93,ACN-107-0929
城堡,HD,CUS-85PFD,1951,8.5,5.18,ACN-106-3495
城堡,AF,CUS-28AF,561,2.8,5.93,ACN-107-1054
城堡,,CUS-28BH,560,2.8,5.94,ACN-108-0585
城堡,AF,CUS-50AF,1114,5,5.33,ACN-106-3499
城堡,AF,CUS-28AF-H,561,2.8,5.93,ACN-107-1055
城堡,HD,CUS-41PFD,902,4.1,5.4,ACN-105-1401
城堡,SG,CUS-112SG,2646,11.2,5.03,ACN-109-1112
城堡,HD,CUM-63ND,1449,6.5,5.33,ACN-107-1508
城堡,AF,CUS-72AF,1673,7.2,5.11,ACN-106-3497
城堡,HD,CUM-72ND,1720,7.4,5.11,ACN-107-1509
城堡,SG,CUS-160SG-H,3728,16,5.1,ACN-109-1109
城堡,AF,CUS-36AF,719,3.6,5.95,ACN-106-3492
城堡,AF,CUS-41AF-H,896,4.1,5.44,ACN-106-3493
城堡,AF,CUS-63AF-H,1404,6.3,5.33,ACN-106-3500
城堡,,CUS-36BH,722,3.6,5.93,ACN-108-0586
城堡,AF,CUS-63AF,1404,6.3,5.33,ACN-106-3496
城堡,SG,CUS-112SG-H,2646,11.2,5.03,ACN-109-1111
城堡,HD,CUM-85ND,1976,8.5,5.11,ACN-107-1510
城堡,AF,CUS-28AF-C,549,2.8,6.06,ACN-106-3490
城堡,HD,CUM-105ND,2483,10.5,5.03,ACN-107-1506
城堡,AF,CUS-36AF-H,719,3.6,5.95,ACN-106-3491
城堡,SG,CUS-140SG,3289,14,5.06,ACN-109-1114
城堡,RN,CUS-73RN,1574,7.3,5.51,ACN-109-0773
城堡,HD,CUS-28PFD,561,2.8,5.93,ACN-105-1399
城堡,AF,CUS-41AF,896,4.1,5.44,ACN-106-3494
城堡,RN,CUS-85RN,1895,8.5,5.33,ACN-109-1002
城堡,HD,CUM-50ND,1159,5.2,5.33,ACN-107-1511
城堡,RN,CUS-42RN,916,4.2,5.45,ACN-109-0752
城堡,HD,CUS-36PFD,721,3.6,5.94,ACN-105-1400
城堡,AF,CUS-23AF,457,2.3,5.98,ACN-106-3488
城堡,SG,CUS-101SG,2363,10.1,5.08,ACN-109-1107
城堡,AF,CUS-28AF-H-C,549,2.8,6.06,ACN-106-3489
城堡,AF,CUS-23AF-H,457,2.3,5.98,ACN-106-3487
城堡,,CUS-42BH,928,4.2,5.38,ACN-108-0587
城堡,SG,CUS-140SG-H,3289,14,5.06,ACN-109-1113
城堡,RN,CUS-38RN,752,3.8,6.01,ACN-109-0751
城堡,,CUS-50BH,1115,5,5.33,ACN-108-0345
城堡,RN,CUS-65RN,1373,6.5,5.62,ACN-109-0772
城堡,AF,CUS-72AF-H,1673,7.2,5.11,ACN-106-3501
城堡,AF,CUS-50AF-H,1114,5,5.33,ACN-106-3498
城堡,HD,CUS-72PFD,1670,7.2,5.12,ACN-105-1946
城堡,SG,CUS-101SG-H,2363,10.1,5.08,ACN-109-1108
城堡,HD,CUS-50PFD,1105,5,5.38,ACN-105-1945
城堡,HD,CUM-120ND,3071,13,5.03,ACN-107-1507
城堡,,CUS-73BH,1694,7.3,5.12,ACN-108-0589
城堡,RN,CUS-28RN,552,2.8,6.02,ACN-109-0750
城堡,RN,CUS-50RN,1012,5,5.87,ACN-109-0753
城堡,SG,CUS-160SG,3728,16,5.1,ACN-109-1110
金菱,HD,KCVM-72HD,1720,7.4,5.11,ACN-107-1452
金菱,AF,KCV-28AF,561,2.8,5.93,ACN-107-1097
金菱,HD,KCVM-120HD,3071,13,5.03,ACN-107-1450
金菱,HD,KCVM-50HD,1159,5.2,5.33,ACN-107-1454
金菱,RN,KCV-85RN,1895,8.5,5.33,ACN-109-1008
金菱,HD,KCV-36HD,721,3.6,5.94,ACN-105-1387
金菱,AF,KCV-63AFH,1404,6.3,5.33,ACN-106-3437
金菱,SG,KCV-140SG-H,3289,14,5.06,ACN-109-1121
金菱,HD,KCVM-85HD,1976,8.5,5.11,ACN-107-1453
金菱,HD,KCV-85HD,1951,8.5,5.18,"	ACN-106-3441"
金菱,SG,KCV-112SG,2646,11.2,5.03,ACN-109-1120
金菱,HD,KCV-72HD,1670,7.2,5.12,ACN-105-1958
金菱,RN,KCV-28RN,552,2.8,6.02,ACN-109-0687
金菱,AF,KCV-23AF,457,2.3,5.98,ACN-106-3428
金菱,SG,KCV-160SG,3728,16,5.1,ACN-109-1118
金菱,AF,KCV-23AFH,457,2.3,5.98,ACN-106-3427
金菱,RN,KCV-42RN,916,4.2,5.45,ACN-109-0689
金菱,HD,KCV-28HD,561,2.8,5.93,ACN-105-1386
金菱,AF,KCV-28AFH-C,549,2.8,6.06,ACN-106-3429
金菱,HD,KCV-50HD,1105,5,5.38,ACN-105-1959
金菱,RN,KCV-65RN,1373,6.5,5.62,ACN-109-0768
金菱,AF,KCV-28AFH,561,2.8,5.93,ACN-107-1098
金菱,AF,KCV-41AFH,896,4.1,5.44,ACN-106-3433
金菱,RN,KCV-38RN,752,3.8,6.01,ACN-109-0688
金菱,SG,KCV-112SG-H,2646,11.2,5.03,ACN-109-1119
金菱,HD,KCVM-63HD,1449,6.5,5.33,ACN-107-1451
金菱,AF,KCV-28AF-C,549,2.8,6.06,ACN-106-3430
金菱,AF,KCV-36AF,719,3.6,5.95,ACN-106-3432
金菱,AF,KCV-72AFH,1673,7.2,5.11,ACN-106-3439
金菱,HD,KCV-41HD,902,4.1,5.4,ACN-105-1388
金菱,RN,KCV-73RN,1574,7.3,5.51,ACN-109-0769
金菱,AF,KCV-41AF,896,4.1,5.44,ACN-106-3434
金菱,AF,KCV-72AF,1673,7.2,5.11,ACN-106-3440
金菱,SG,KCV-140SG,3289,14,5.06,ACN-109-1122
金菱,HD,KCVM-105HD,2483,10.5,5.03,ACN-107-1449
金菱,AF,KCV-50AF,1114,5,5.33,ACN-106-3436
金菱,AF,KCV-36AFH,719,3.6,5.95,ACN-106-3431
金菱,AF,KCV-63AF,1404,6.3,5.33,ACN-106-3438
金菱,SG,KCV-160SG-H,3728,16,5.1,ACN-109-1117
金菱,AF,KCV-50AFH,1114,5,5.33,ACN-106-3435
金菱,SG,KCV-101SG,2363,10.1,5.08,ACN-109-1115
金菱,SG,KCV-101SG-H,2363,10.1,5.08,ACN-109-1116
金菱,RN,KCV-50RN,1012,5,5.87,ACN-109-0690
北鄉,,MVC-18HT,1114,5,5.33,ACN-106-1806
北鄉,HD,NFC-22HPD,1404,6.3,5.33,ACN-106-3402
北鄉,,MVC-52HT2,1159,5.2,5.33,ACN-106-2787
北鄉,HD,HD-AH27,541,2.7,5.94,ACN-108-1085
北鄉,,MVC-10HT,561,2.8,5.93,ACN-106-1803
北鄉,,MVC-14HT,914,4.1,5.33,ACN-106-1805
北鄉,,NUX-10HA,560,2.8,5.94,ACN-106-2140
北鄉,RN,NVC-14RN,916,4.2,5.45,ACN-109-0693
北鄉,AF,NFC-08PD,457,2.3,5.98,ACN-106-3393
北鄉,,MVC-130HT4,3071,13,5.03,ACN-106-2792
北鄉,RN,NVC-18RN,1012,5,5.87,ACN-109-0694
北鄉,RN,NVC-22RN,1373,6.5,5.62,ACN-109-0766
北鄉,HD,NRV-85HDV,1976,8.5,5.11,ACN-107-1518
北鄉,AF,NFC-14PD,896,4.1,5.44,ACN-106-3399
北鄉,AF(MFC),MFC-22HT,1404,6.3,5.33,ACN-107-0876
北鄉,AF(MFC),MFC-25HT,1673,7.2,5.11,ACN-107-0877
北鄉,AF(MFC),MFC-08HT,457,2.3,5.98,ACN-107-0872
北鄉,,MVC-22HT,1448,6.5,5.33,ACN-106-2075
北鄉,AF(MFC),MFC-18HT,1114,5,5.33,ACN-107-0875
北鄉,,MVC-85HT3,1976,8.5,5.11,ACN-106-2791
北鄉,HD,NFC-12HPD,719,3.6,5.95,ACN-106-3396
北鄉,AF,NFC-22PD,1404,6.3,5.33,ACN-106-3403
北鄉,HD,HD-AH67,1492,6.7,5.34,ACN-108-1094
北鄉,,MVC-24HT,1673,7.2,5.11,ACN-106-2076
北鄉,RN,NVC-25RN,1574,7.3,5.51,ACN-109-0767
北鄉,HD,NVC-10HPD,561,2.8,5.93,ACN-105-1416
北鄉,,MVC-08HT,441,2.2,5.93,ACN-106-1802
北鄉,RN,NVC-30RN,1895,8.5,5.33,ACN-109-1009
北鄉,,MVC-12HT,722,3.6,5.93,ACN-106-1804
北鄉,HD,NVC-12HPD,721,3.6,5.94,ACN-105-1417
北鄉,HD,NVC-18HPD,1105,5,5.38,ACN-107-0878
北鄉,HD,NFC-25HPD,1673,7.2,5.11,ACN-106-3404
北鄉,,MVC-30HT,1978,8.5,5.11,ACN-106-1808
北鄉,HD,NVC-14HPD,902,4.1,5.4,ACN-105-1418
北鄉,,MVC-65HT2,1449,6.5,5.33,ACN-106-2788
北鄉,SG,NVC-140SG-H,3289,14,5.06,ACN-109-1125
北鄉,,MVC-25HT,1720,7.4,5.11,ACN-106-1807
北鄉,HD,NRV-72HDV,1720,7.4,5.11,ACN-107-1517
北鄉,AF,NFC-10PD-C,549,2.8,6.06,ACN-106-3395
北鄉,AF(MFC),MFC-10HT,561,2.8,5.93,ACN-108-0770
北鄉,AF,NFC-18PD,1114,5,5.33,ACN-106-3401
北鄉,AF,NFC-25PD,1673,7.2,5.11,ACN-106-3405
北鄉,HD,NFC-10HPD-C,549,2.8,6.06,ACN-106-3394
北鄉,SG,NVC-140SG,3289,14,5.06,ACN-109-1126
北鄉,HD,NFC-14HPD,896,4.1,5.44,ACN-106-3398
北鄉,HD,NRV-50HDV,1159,5.2,5.33,ACN-107-1519
北鄉,HD,NRV-105HDV,2483,10.5,5.03,ACN-107-1514
北鄉,HD,NRV-63HDV,1449,6.5,5.33,ACN-107-1516
北鄉,HD,HD-AH50,1112,5,5.34,ACN-108-1092
北鄉,HD,NFC-10HPD,561,2.8,5.93,ACN-107-0938
北鄉,RN,NVC-10RN,552,2.8,6.02,ACN-109-0691
北鄉,SG,NVC-101SG-H,2363,10.1,5.08,ACN-109-1128
北鄉,AF,NFC-12PD,719,3.6,5.95,ACN-106-3397
北鄉,HD,NFC-18HPD,1114,5,5.33,ACN-106-3400
北鄉,,MVC-100HT3,2483,10.5,5.03,ACN-106-2790
北鄉,HD,NRV-120HDV,3071,13,5.03,ACN-107-1515
北鄉,SG,NVC-112SG-H,2646,11.2,5.03,ACN-109-1123
北鄉,HD,HD-AH35,701,3.5,5.93,ACN-108-1093
北鄉,HD,NVC-25HPD,1670,7.2,5.12,ACN-107-0879
北鄉,HD,NFC-08HPD,457,2.3,5.98,ACN-106-3392
北鄉,HD,NVC-30HPD,1951,8.5,5.18,ACN-107-0880
北鄉,RN,NVC-12RN,752,3.8,6.01,ACN-109-0692
北鄉,SG,NVC-160SG-H,3728,16,5.1,ACN-109-1129
北鄉,SG,NVC-160SG,3728,16,5.1,ACN-109-1130
北鄉,AF(MFC),MFC-14HT,896,4.1,5.44,ACN-107-0874
北鄉,SG,NVC-101SG,2363,10.1,5.08,ACN-109-1127
北鄉,SG,NVC-112SG,2646,11.2,5.03,ACN-109-1124
北鄉,AF(MFC),MFC-12HT,719,3.6,5.95,ACN-107-0873
北鄉,,MVC-74HT2,1720,7.4,5.11,ACN-106-2789
北鄉,AF,NFC-10PD,561,2.8,5.93,ACN-107-0937
雅哥,SG,ACV-101SG-H,2363,10.1,5.08,ACN-109-1104
雅哥,,ACV-41PV,895,4.1,5.44,ACN-108-0295
雅哥,RN,ACV-42RN,916,4.2,5.45,ACN-109-0756
雅哥,RN,ACV-38RN,752,3.8,6.01,ACN-109-0755
雅哥,SG,ACV-140SG,3289,14,5.06,ACN-109-1102
雅哥,,ACV-50PV,1105,5,5.38,ACN-108-0417
雅哥,,ACV-125PV,3310,14,5.03,ACN-106-2343
雅哥,SG,ACV-160SG,3728,16,5.1,ACN-109-1106
雅哥,SG,ACV-101SG,2363,10.1,5.08,ACN-109-1103
雅哥,SG,ACV-140SG-H,3289,14,5.06,ACN-109-1101
雅哥,,ACV-28PV,546,2.8,6.09,ACN-108-0294
雅哥,SG,ACV-112SG-H,2646,11.2,5.03,ACN-109-1099
雅哥,,ACV-83PV,1930,8.3,5.11,ACN-108-0548
雅哥,RN,ACV-65RN,1373,6.5,5.62,ACN-109-0774
雅哥,RN,ACV-50RN,1012,5,5.87,ACN-109-0757
雅哥,SG,ACV-160SG-H,3728,16,5.1,ACN-109-1105
雅哥,,ACV-72PV,1664,7.2,5.14,ACN-108-0418
雅哥,RN,ACV-73RN,1574,7.3,5.51,ACN-109-0775
雅哥,SG,ACV-112SG,2646,11.2,5.03,ACN-109-1100
雅哥,,ACV-90PV,2091,9,5.11,ACN-108-0547
雅哥,RN,ACV-28RN,552,2.8,6.02,ACN-109-0754
雅哥,RN,ACV-85RN,1895,8.5,5.33,ACN-109-1003
